Model,MAE,MAE_std,DTW,Rolling_RMSE,Rolling_RMSE_std,CRPS,CRPS_std
VAE,0.784044683129796,0.6808479787895138,13.553444802941348,0.8851713109432657,0.5424846595180689,0.784044683129796,0.6808479787895138
gan,1.4068445413054644,0.8943471019998539,14.960010282635611,1.5589028053331537,0.5654631760307712,1.4068445413054644,0.8943471019998539
gan,1.4390487020948721,0.8918458435503189,15.10205557962144,1.5940428081364737,0.5526823590579021,1.4390487020948721,0.8918458435503189
gan,1.4078779288076095,0.8858364367339755,14.952528783812745,1.5570353872399518,0.5600560582724323,1.4078779288076095,0.8858364367339755
gan,1.4075765199117507,0.8925208149335812,14.97949840464285,1.558899422383364,0.5646825181235376,1.4075765199117507,0.8925208149335812
gan,1.4048751910399324,0.8787394328099061,14.947852644634786,1.5515955709884723,0.5557844306060055,1.4048751910399324,0.8787394328099061
VAE,0.7864556647545139,0.6812941205153412,13.57514752012665,0.8875682472303891,0.5425797125140971,0.7864556647545139,0.6812941205153412
VAE,0.7847539924687545,0.6813332286675884,13.578589222295042,0.8859399582657355,0.5428312775865767,0.7847539924687545,0.6813332286675884
gan,1.4061950328151183,0.8829187900433232,14.9773877120922,1.5545765053568041,0.5581630880405519,1.4061950328151183,0.8829187900433232
gan,1.407365248796882,0.8840545068860163,15.00430217709064,1.555761330070781,0.5592825635827501,1.407365248796882,0.8840545068860163
VAE,0.7852843305690884,0.6803411961311872,13.564828769222677,0.8864177028997134,0.5415642833745903,0.7852843305690884,0.6803411961311872
VAE,0.7844771815534659,0.681450661953203,13.582067995884275,0.8857880029033115,0.5429618851041302,0.7844771815534659,0.681450661953203
VAE,0.7837436143975005,0.6804861641914691,13.571721696356244,0.8848619915886634,0.542011437761356,0.7837436143975005,0.6804861641914691
gan,1.4084120247957033,0.8857265656407828,14.941179775717522,1.5570878466977849,0.5602598788857518,1.4084120247957033,0.8857265656407828
VAE,0.7856453216043275,0.6801691031451353,13.57974953114145,0.8869083673791296,0.5409968765606205,0.7856453216043275,0.6801691031451353
gan,1.4070964428799848,0.8861019295681468,14.977912975199697,1.5564537093965365,0.5599023736574079,1.4070964428799848,0.8861019295681468
gan,1.4050763697440076,0.8813545941633888,14.95674901703842,1.552912030908203,0.5573664365817095,1.4050763697440076,0.8813545941633888
gan,1.4076457508567148,0.8859705518787915,14.988414940577611,1.556742746260433,0.5604068047942693,1.4076457508567148,0.8859705518787915
gan,1.4080251128823713,0.8886197995246445,14.983127493528583,1.5583659875478644,0.5608370444876438,1.4080251128823713,0.8886197995246445
gan,1.4068152962550715,0.887901276350148,14.937637901523567,1.5561551696147007,0.562731457647187,1.4068152962550715,0.887901276350148
gan,1.4060055449524633,0.8797574759683044,14.93927901400127,1.5524731735055888,0.5582737890386996,1.4060055449524633,0.8797574759683044
gan,1.4042988116534234,0.8831925224272498,14.963755588617826,1.5526102088639886,0.5591852645285522,1.4042988116534234,0.8831925224272498
gan,1.4081760619075403,0.8796828859242113,14.96516841106065,1.5551807600607397,0.5556218327892783,1.4081760619075403,0.8796828859242113
VAE,0.7851756229779927,0.6810398937905091,13.556079277646347,0.8864021855209739,0.542354639229516,0.7851756229779927,0.6810398937905091
VAE,0.785350731034172,0.680257621710795,13.554630533407433,0.8864814976995907,0.5414221146122248,0.785350731034172,0.680257621710795
VAE,0.7852791147148214,0.6800845554955985,13.589822250245092,0.8864349371838188,0.5412599164636587,0.7852791147148214,0.6800845554955985
VAE,0.7863912944911877,0.6814806344223345,13.589732399691693,0.8877139471528432,0.5425015609694326,0.7863912944911877,0.6814806344223345
VAE,0.78494877878303,0.6809698559549703,13.569522307367968,0.8861957032690404,0.5423200339817231,0.78494877878303,0.6809698559549703
gan,1.4063680622444497,0.8857271485588604,14.968051306676621,1.555036999933594,0.5613894967224494,1.4063680622444497,0.8857271485588604
VAE,0.7849528413303253,0.6802482076731666,13.569400419053125,0.8860815879467827,0.5415645833227175,0.7849528413303253,0.6802482076731666
gan,1.406531814831873,0.8798479893492532,14.976365429504394,1.5531355211842686,0.5577998485736522,1.406531814831873,0.8798479893492532
gan,1.4093487866295038,0.8886770884619231,14.986627172492744,1.5595714423042992,0.5608680848231834,1.4093487866295038,0.8886770884619231
